ranking,critic_score,title,number_of_critic_ratings,audience_score,number_of_audience_ratings
1,99,The Wizard of Oz (1939),110,89.0,874425.0
2,100,Citizen Kane (1941),75,90.0,157274.0
3,100,The Third Man (1949),77,93.0,53081.0
4,99,Get Out (2017),282,87.0,63837.0
5,97,Mad Max: Fury Road (2015),370,86.0,123937.0
6,100,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),49,89.0,27163.0
7,100,All About Eve (1950),64,94.0,44564.0
8,98,Inside Out (2015),324,89.0,133558.0
9,99,The Godfather (1972),85,98.0,730433.0
10,99,Metropolis (1927),116,92.0,62018.0
11,98,E.T. The Extra-Terrestrial (1982),114,72.0,32313030.0
12,100,Modern Times (1936),53,95.0,39736.0
13,98,It Happened One Night (1934),52,93.0,33106.0
14,100,Singin' in the Rain (1952),49,95.0,137643.0
15,98,Boyhood (2014),283,81.0,88478.0
16,97,Casablanca (1942),74,95.0,355952.0
17,98,Moonlight (2016),292,80.0,41956.0
18,97,Psycho (1960),86,94.0,238259.0
19,100,Laura (1944),60,91.0,10481.0
20,97,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",62,87.0,47463.0
21,98,Snow White and the Seven Dwarfs (1937),47,78.0,469510.0
22,98,A Hard Day's Night (1964),104,89.0,50067.0
23,97,La Grande illusion (Grand Illusion) (1938),63,92.0,11490.0
24,100,North by Northwest (1959),65,94.0,78793.0
25,99,The Battle of Algiers (La Battaglia di Algeri) (1967),83,95.0,14267.0
26,93,Dunkirk (2017),337,82.0,53555.0
27,100,The Maltese Falcon (1941),50,91.0,57268.0
28,100,Repulsion (1965),60,87.0,18655.0
29,96,12 Years a Slave (2013),316,90.0,138789.0
30,96,Gravity (2013),315,80.0,301261.0
31,98,Sunset Boulevard (1950),60,95.0,52783.0
32,98,King Kong (1933),54,86.0,89669.0
33,96,Spotlight (2015),311,93.0,68142.0
34,100,The Adventures of Robin Hood (1938),45,89.0,33584.0
35,100,Rashômon (1951),50,,
36,100,Rear Window (1954),63,95.0,149458.0
37,99,Selma (2015),236,86.0,60533.0
38,99,Taxi Driver (1976),77,93.0,258405.0
39,99,Toy Story 3 (2010),291,89.0,605098.0
40,96,Argo (2012),313,90.0,207373.0
41,100,Toy Story 2 (1999),163,86.0,998186.0
42,98,The Big Sick (2017),217,90.0,23391.0
43,100,The Bride of Frankenstein (1935),41,87.0,24471.0
44,98,Zootopia (2016),249,92.0,98633.0
45,100,M (1931),51,95.0,35778.0
46,92,Wonder Woman (2017),333,90.0,112955.0
47,100,The Philadelphia Story (1940),54,93.0,46810.0
48,97,Alien (1979),104,94.0,457186.0
49,98,Bicycle Thieves (Ladri di biciclette) (1949),56,94.0,33723.0
50,100,Seven Samurai (Shichinin no Samurai) (1956),57,97.0,90049.0
51,100,The Treasure of the Sierra Madre (1948),45,93.0,25627.0
52,98,Up (2009),286,90.0,1201878.0
53,100,12 Angry Men (Twelve Angry Men) (1957),49,97.0,103672.0
54,100,The 400 Blows (Les Quatre cents coups) (1959),54,94.0,38368.0
55,93,Logan (2017),309,91.0,86540.0
56,100,All Quiet on the Western Front (1930),40,89.0,17768.0
57,97,Army of Shadows (L'Armée des ombres) (1969),73,,
58,94,Arrival (2016),333,82.0,78740.0
59,93,Baby Driver (2017),283,89.0,48114.0
60,98,A Streetcar Named Desire (1951),54,90.0,54761.0
61,98,The Night of the Hunter (1955),64,90.0,24322.0
62,92,Star Wars: Episode VII - The Force Awakens (2015),370,89.0,222789.0
63,96,Manchester by the Sea (2016),278,77.0,48189.0
64,99,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),74,94.0,208215.0
65,100,Frankenstein (1931),45,87.0,41140.0
66,97,Vertigo (1958),64,93.0,101454.0
67,94,The Dark Knight (2008),325,94.0,1827436.0
68,96,Touch of Evil (1958),70,92.0,30867.0
69,98,The Babadook (2014),214,72.0,37024.0
70,100,The Conformist (1970),50,91.0,8529.0
71,100,Rebecca (1940),48,92.0,39026.0
72,99,Rosemary's Baby (1968),69,87.0,72669.0
73,99,Finding Nemo (2003),256,86.0,33355673.0
74,97,Brooklyn (2015),243,87.0,45763.0
75,98,The Wrestler (2008),222,88.0,139795.0
76,98,The 39 Steps (1935),44,86.0,23647.0
77,99,L.A. Confidential (1997),108,94.0,149772.0
78,94,Gone With the Wind (1939),83,93.0,292794.0
79,97,"The Good, the Bad and the Ugly (1966)",68,97.0,238420.0
80,93,Skyfall (2012),349,86.0,372497.0
81,100,Open City (1946),41,92.0,6128.0
82,100,Tokyo Story (Tôkyô monogatari) (1953),42,,
83,97,Hell or High Water (2016),237,88.0,37738.0
84,100,Pinocchio (1940),45,72.0,278682.0
85,95,The Jungle Book (2016),284,86.0,92856.0
86,92,La La Land (2016),358,82.0,67325.0
87,95,Star Trek (2009),336,91.0,746458.0
88,96,High Noon (1952),50,89.0,25065.0
89,98,Apocalypse Now (1979),80,94.0,284606.0
90,98,On the Waterfront (1954),61,95.0,51664.0
91,100,The Wages of Fear (1953),40,95.0,8536.0
92,100,The Last Picture Show (1971),51,90.0,13893.0
93,96,Harry Potter and the Deathly Hallows - Part 2 (2011),314,89.0,389431.0
